generation,best_fitness,avg_fitness,worst_fitness,best_individual,best_feature_count,best_features
32,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
33,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
34,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
35,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
36,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
37,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
38,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
39,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
40,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
41,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
42,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
43,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
44,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
45,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
46,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
47,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
48,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
49,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
